,location,age,degree_field,count
1043,Minnesota,All,"Arts, Humanities and Others","318,798"
1044,Mississippi,All,"Arts, Humanities and Others","86,927"
1045,Missouri,All,"Arts, Humanities and Others","273,060"
1046,Montana,All,"Arts, Humanities and Others","52,057"
1047,Nebraska,All,"Arts, Humanities and Others","85,113"
1048,Nevada,All,"Arts, Humanities and Others","118,366"
1049,New Hampshire,All,"Arts, Humanities and Others","83,634"
1050,New Jersey,All,"Arts, Humanities and Others","533,421"
1051,New Mexico,All,"Arts, Humanities and Others","88,823"
1052,New York,All,"Arts, Humanities and Others","1,371,785"
1053,North Carolina,All,"Arts, Humanities and Others","530,694"
1054,North Dakota,All,"Arts, Humanities and Others","29,002"
1055,Ohio,All,"Arts, Humanities and Others","483,276"
1056,Oklahoma,All,"Arts, Humanities and Others","139,529"
1057,Oregon,All,"Arts, Humanities and Others","266,900"
1058,Pennsylvania,All,"Arts, Humanities and Others","637,119"
1059,Rhode Island,All,"Arts, Humanities and Others","65,244"
1060,South Carolina,All,"Arts, Humanities and Others","212,666"
1061,South Dakota,All,"Arts, Humanities and Others","31,739"
1062,Tennessee,All,"Arts, Humanities and Others","300,776"
1063,Texas,All,"Arts, Humanities and Others","1,161,517"
1064,Utah,All,"Arts, Humanities and Others","155,749"
1065,Vermont,All,"Arts, Humanities and Others","51,021"
1066,Virginia,All,"Arts, Humanities and Others","548,400"
1067,Washington,All,"Arts, Humanities and Others","449,115"
1068,West Virginia,All,"Arts, Humanities and Others","52,869"
1069,Wisconsin,All,"Arts, Humanities and Others","262,624"
1070,Wyoming,All,"Arts, Humanities and Others","21,739"
1071,United States,25-39,"Arts, Humanities and Others","6,328,745"
1072,Alabama,25-39,"Arts, Humanities and Others","61,688"
1073,Alaska,25-39,"Arts, Humanities and Others","12,608"
1074,Arizona,25-39,"Arts, Humanities and Others","105,767"
1075,Arkansas,25-39,"Arts, Humanities and Others","37,103"
1076,California,25-39,"Arts, Humanities and Others","920,030"
1077,Colorado,25-39,"Arts, Humanities and Others","148,673"
1078,Connecticut,25-39,"Arts, Humanities and Others","78,084"
1079,Delaware,25-39,"Arts, Humanities and Others","14,258"
1080,Florida,25-39,"Arts, Humanities and Others","305,984"
1081,Georgia,25-39,"Arts, Humanities and Others","181,009"
1082,Hawaii,25-39,"Arts, Humanities and Others","25,657"
1083,Idaho,25-39,"Arts, Humanities and Others","28,459"
1084,Illinois,25-39,"Arts, Humanities and Others","286,813"
1085,Indiana,25-39,"Arts, Humanities and Others","103,831"
1086,Iowa,25-39,"Arts, Humanities and Others","50,413"
1087,Kansas,25-39,"Arts, Humanities and Others","51,232"
1088,Kentucky,25-39,"Arts, Humanities and Others","66,579"
1089,Louisiana,25-39,"Arts, Humanities and Others","75,696"
1090,Maine,25-39,"Arts, Humanities and Others","25,771"
1091,Maryland,25-39,"Arts, Humanities and Others","136,274"
1092,Massachusetts,25-39,"Arts, Humanities and Others","190,563"
1093,Michigan,25-39,"Arts, Humanities and Others","153,436"
1094,Minnesota,25-39,"Arts, Humanities and Others","120,537"
1095,Mississippi,25-39,"Arts, Humanities and Others","29,456"
1096,Missouri,25-39,"Arts, Humanities and Others","106,888"
1097,Montana,25-39,"Arts, Humanities and Others","16,241"
1098,Nebraska,25-39,"Arts, Humanities and Others","35,738"
1099,Nevada,25-39,"Arts, Humanities and Others","45,232"
1100,New Hampshire,25-39,"Arts, Humanities and Others","26,800"
1101,New Jersey,25-39,"Arts, Humanities and Others","195,127"
1102,New Mexico,25-39,"Arts, Humanities and Others","27,434"
1103,New York,25-39,"Arts, Humanities and Others","557,917"
1104,North Carolina,25-39,"Arts, Humanities and Others","193,437"
1105,North Dakota,25-39,"Arts, Humanities and Others","13,314"
1106,Ohio,25-39,"Arts, Humanities and Others","183,458"
1107,Oklahoma,25-39,"Arts, Humanities and Others","52,443"
1108,Oregon,25-39,"Arts, Humanities and Others","97,122"
1109,Pennsylvania,25-39,"Arts, Humanities and Others","252,451"
1110,Rhode Island,25-39,"Arts, Humanities and Others","23,005"
1111,South Carolina,25-39,"Arts, Humanities and Others","75,035"
1112,South Dakota,25-39,"Arts, Humanities and Others","12,926"
1113,Tennessee,25-39,"Arts, Humanities and Others","123,395"
1114,Texas,25-39,"Arts, Humanities and Others","474,090"
1115,Utah,25-39,"Arts, Humanities and Others","66,307"
1116,Vermont,25-39,"Arts, Humanities and Others","14,788"
1117,Virginia,25-39,"Arts, Humanities and Others","196,016"
1118,Washington,25-39,"Arts, Humanities and Others","157,326"
1119,West Virginia,25-39,"Arts, Humanities and Others","18,984"
1120,Wisconsin,25-39,"Arts, Humanities and Others","97,513"
1121,Wyoming,25-39,"Arts, Humanities and Others","8,146"
1122,United States,40-64,"Arts, Humanities and Others","7,409,752"
1123,Alabama,40-64,"Arts, Humanities and Others","79,420"
1124,Alaska,40-64,"Arts, Humanities and Others","15,938"
1125,Arizona,40-64,"Arts, Humanities and Others","134,354"
1126,Arkansas,40-64,"Arts, Humanities and Others","41,311"
1127,California,40-64,"Arts, Humanities and Others","1,034,892"
1128,Colorado,40-64,"Arts, Humanities and Others","173,014"
1129,Connecticut,40-64,"Arts, Humanities and Others","117,109"
1130,Delaware,40-64,"Arts, Humanities and Others","20,054"
1131,Florida,40-64,"Arts, Humanities and Others","412,197"
1132,Georgia,40-64,"Arts, Humanities and Others","228,183"
1133,Hawaii,40-64,"Arts, Humanities and Others","33,349"
1134,Idaho,40-64,"Arts, Humanities and Others","31,946"
1135,Illinois,40-64,"Arts, Humanities and Others","316,853"
1136,Indiana,40-64,"Arts, Humanities and Others","115,227"
1137,Iowa,40-64,"Arts, Humanities and Others","55,570"
1138,Kansas,40-64,"Arts, Humanities and Others","61,964"
1139,Kentucky,40-64,"Arts, Humanities and Others","78,640"
1140,Louisiana,40-64,"Arts, Humanities and Others","77,405"
1141,Maine,40-64,"Arts, Humanities and Others","38,847"
1142,Maryland,40-64,"Arts, Humanities and Others","179,308"
1143,Massachusetts,40-64,"Arts, Humanities and Others","229,095"
1144,Michigan,40-64,"Arts, Humanities and Others","194,064"
1145,Minnesota,40-64,"Arts, Humanities and Others","144,673"
1146,Mississippi,40-64,"Arts, Humanities and Others","40,644"
1147,Missouri,40-64,"Arts, Humanities and Others","121,035"
1148,Montana,40-64,"Arts, Humanities and Others","22,914"
1149,Nebraska,40-64,"Arts, Humanities and Others","36,942"
1150,Nevada,40-64,"Arts, Humanities and Others","50,812"
1151,New Hampshire,40-64,"Arts, Humanities and Others","37,515"
1152,New Jersey,40-64,"Arts, Humanities and Others","252,597"
1153,New Mexico,40-64,"Arts, Humanities and Others","35,730"
1154,New York,40-64,"Arts, Humanities and Others","576,432"
1155,North Carolina,40-64,"Arts, Humanities and Others","241,917"
1156,North Dakota,40-64,"Arts, Humanities and Others","11,769"
1157,Ohio,40-64,"Arts, Humanities and Others","219,126"
1158,Oklahoma,40-64,"Arts, Humanities and Others","60,738"
1159,Oregon,40-64,"Arts, Humanities and Others","115,437"
1160,Pennsylvania,40-64,"Arts, Humanities and Others","273,399"
1161,Rhode Island,40-64,"Arts, Humanities and Others","28,757"
1162,South Carolina,40-64,"Arts, Humanities and Others","92,158"
1163,South Dakota,40-64,"Arts, Humanities and Others","13,292"
1164,Tennessee,40-64,"Arts, Humanities and Others","129,599"
1165,Texas,40-64,"Arts, Humanities and Others","510,058"
1166,Utah,40-64,"Arts, Humanities and Others","65,294"
1167,Vermont,40-64,"Arts, Humanities and Others","22,886"
1168,Virginia,40-64,"Arts, Humanities and Others","252,472"
1169,Washington,40-64,"Arts, Humanities and Others","203,276"
1170,West Virginia,40-64,"Arts, Humanities and Others","23,745"
1171,Wisconsin,40-64,"Arts, Humanities and Others","117,500"
1172,Wyoming,40-64,"Arts, Humanities and Others","9,464"
1173,United States,65+,"Arts, Humanities and Others","3,047,513"
1174,Alabama,65+,"Arts, Humanities and Others","33,268"
1175,Alaska,65+,"Arts, Humanities and Others","5,473"
1176,Arizona,65+,"Arts, Humanities and Others","69,974"
1177,Arkansas,65+,"Arts, Humanities and Others","17,366"
1178,California,65+,"Arts, Humanities and Others","438,614"
1179,Colorado,65+,"Arts, Humanities and Others","64,062"
1180,Connecticut,65+,"Arts, Humanities and Others","51,205"
1181,Delaware,65+,"Arts, Humanities and Others","11,575"
1182,Florida,65+,"Arts, Humanities and Others","224,920"
1183,Georgia,65+,"Arts, Humanities and Others","74,775"
1184,Hawaii,65+,"Arts, Humanities and Others","15,732"
1185,Idaho,65+,"Arts, Humanities and Others","13,827"
1186,Illinois,65+,"Arts, Humanities and Others","111,722"
1187,Indiana,65+,"Arts, Humanities and Others","42,058"
1188,Iowa,65+,"Arts, Humanities and Others","23,002"
1189,Kansas,65+,"Arts, Humanities and Others","25,352"
1190,Kentucky,65+,"Arts, Humanities and Others","29,864"
1191,Louisiana,65+,"Arts, Humanities and Others","28,397"
1192,Maine,65+,"Arts, Humanities and Others","22,221"
1193,Maryland,65+,"Arts, Humanities and Others","69,102"
1194,Massachusetts,65+,"Arts, Humanities and Others","101,476"
1195,Michigan,65+,"Arts, Humanities and Others","79,667"
1196,Minnesota,65+,"Arts, Humanities and Others","53,588"
1197,Mississippi,65+,"Arts, Humanities and Others","16,827"
1198,Missouri,65+,"Arts, Humanities and Others","45,137"
1199,Montana,65+,"Arts, Humanities and Others","12,902"
1200,Nebraska,65+,"Arts, Humanities and Others","12,433"
1201,Nevada,65+,"Arts, Humanities and Others","22,322"
1202,New Hampshire,65+,"Arts, Humanities and Others","19,319"
1203,New Jersey,65+,"Arts, Humanities and Others","85,697"
1204,New Mexico,65+,"Arts, Humanities and Others","25,659"
1205,New York,65+,"Arts, Humanities and Others","237,436"
1206,North Carolina,65+,"Arts, Humanities and Others","95,340"
1207,North Dakota,65+,"Arts, Humanities and Others","3,919"
1208,Ohio,65+,"Arts, Humanities and Others","80,692"
1209,Oklahoma,65+,"Arts, Humanities and Others","26,348"
1210,Oregon,65+,"Arts, Humanities and Others","54,341"
1211,Pennsylvania,65+,"Arts, Humanities and Others","111,269"
1212,Rhode Island,65+,"Arts, Humanities and Others","13,482"
1213,South Carolina,65+,"Arts, Humanities and Others","45,473"
1214,South Dakota,65+,"Arts, Humanities and Others","5,521"
1215,Tennessee,65+,"Arts, Humanities and Others","47,782"
1216,Texas,65+,"Arts, Humanities and Others","177,369"
1217,Utah,65+,"Arts, Humanities and Others","24,148"
1218,Vermont,65+,"Arts, Humanities and Others","13,347"
1219,Virginia,65+,"Arts, Humanities and Others","99,912"
1220,Washington,65+,"Arts, Humanities and Others","88,513"
1221,West Virginia,65+,"Arts, Humanities and Others","10,140"
1222,Wisconsin,65+,"Arts, Humanities and Others","47,611"
1223,Wyoming,65+,"Arts, Humanities and Others","4,129"
